,difference
37013077,-3.4911386896415024
37013078,-0.15013676738374215
37013079,-3.6173795152319883
37013080,-2.5981135558019446
37013081,-3.4279751101118165
37013082,
37013083,-3.6168751531853616
37013084,-2.378576786115758
37008698,-0.0004975467144845425
37008699,-2.606911276698497
37008700,-4.142544645404513
37008701,-3.4311190744495264
37008702,-2.9920620577335626
37008703,-3.431098772785674
37008704,-3.6480408699901545
37008705,
36974389,0.33938641957106386
36974390,
37014267,0.03298149151763674
37014268,
37014269,-0.15186864830048208
37014270,2.5451896472664792
37014271,-2.4202398737571684e-05
37014272,1.4325540542633668
37014273,0.42995963582821695
37009599,0.9523558779587837
37009600,0.9520778430139742
37009601,0.952403343281091
37009602,0.9524250918163091
37009603,
37009604,0.9522881595851231
37009605,0.9523803346074793
37009606,-0.0001714123653080435
37009607,-0.0003084187632005353
37009608,-0.0002946400786782988
36999326,
36999327,-2.8105332646874004
36996073,-0.09435658591516471
36996074,
36996075,0.5412434508380315
36996076,-0.0935677510378028
36996077,-0.00010620942458672289
36996078,0.5409641690833951
36996079,-0.09467487378701378
36989744,0.8724997444681524
36989745,-0.9102119970845202
36989746,1.288488278725584
36989747,0.6124897410264971
36989748,
36989749,0.6175898318467397
36989750,2.1333843386933253
36989751,2.1332404646068888
36989752,4.283186811827136
36989753,0.0629765578293906
36983669,3.047302332241884
36983670,0.26703597497075293
36983671,
36983672,-0.17607228824117271
36983673,2.4799697725569985
36983674,-0.9458934639145014
36983675,1.1890348259909445
36983676,0.684933887277154
37011180,-0.16949690533732564
37011181,-1.9134631622580969
37011182,
37011183,-0.6304389734276583
37011184,-0.18929189978649674
37011185,-0.8907231544318961
37011186,2.3057291367479706
37011187,-1.3992823112368455
37011188,-5.055616905870124
37011189,1.6892975506788162
36978937,-1.6053776107043802
36978938,0.2197028513654118
36978939,-2.91886516032757
36978940,
36978941,-2.3880383591206282
36978942,2.0437242182559743
36978943,-2.957308373473225
36978944,0.5140249189747266
36978945,-1.6054416477453088
36978946,-1.9868486444647715
36981719,1.4606327785483018
36981720,-0.6306655283639202
36981721,5.9533747950355576
36981722,0.5489381040519845
36981723,3.4081771746497225
36981724,-0.6754360466372589
36981725,5.100644197524389
36981726,1.3394244128984383
36981727,2.0558907064518337
36981728,
36975564,-3.122267749658647
36975565,-6.123499002906215
36975566,2.1967060972319246
36975567,0.998410377469213
36975568,
36975569,-1.087214556648064
36975570,-1.932150386541423
36975571,-2.3576503991839672
37016184,-1.1863006877127233
37016185,
37016186,-1.186291704758304
37016187,-1.6283455712145027
37018483,0.9578043896854691
37018484,0.9578424167485018
37018485,1.252694762798443
37018486,
37018487,-6.837012413996035e-07
37018488,-1.959700492726313e-05
37006531,
37006532,-1.8607359876909868e-05
37006533,-0.8727647579279036
37011426,-1.8520735849529544
37011427,
37011428,-0.19370185223093017
37011429,-1.852027853465053
37011430,-0.0016017502038074838
37011431,-1.8527328697174
37011432,-0.0007327951599407356
36988935,
36988936,-1.9443967989959958
36988937,-0.7172970053367465
36988938,-3.341297539435743
36988939,-0.6152265749392143
36988940,-3.080535358380473
36988941,-1.2375981967001337
36988942,-0.6934954730473635
36988943,-4.686638725699453
37016398,
37016399,-0.40000882033092644
37016400,-7.68773770278617
37016401,-0.7467395524145086
37016402,-0.4937731954842519
37016403,0.6381501913586343
37016404,-7.104152129095729
36974877,
36974878,-0.10132572817093433
37012819,-0.43436473070249804
37012820,-0.4645710031146564
37012821,-7.007267157632668e-06
37012822,-0.3391723862251297
37012823,-4.603879365771803
37012824,
37012825,-2.0748189548800724
37012826,-7.602211650237223e-05
37012827,1.8433413638707066
37009403,0.901418593880468
37009404,-0.17764266658260297
37009405,1.6861519367791171
37009406,-2.3882242299776646
37009407,
37009408,2.316109190785985
37009409,-0.23539715697259744
37009410,1.3698117624069113
36974459,0.19184805088218582
36974460,-1.5783091083921477
36974461,-0.2555347661644305
36974462,
36974463,0.20055085344262125
36974464,-1.7724379834877482
36974465,-1.5352775731608972
36974466,-1.248121212818603
36974467,-1.6177807513905123
37016176,-0.17491523929417774
37016177,
37011942,0.5481188684782943
37011943,-1.185808295372805
37011944,-0.37058908102939725
37011945,
37014802,-0.5116920461492143
37014803,
36970327,-6.03566843970782e-06
36970328,0.08594765446192021
36970329,
36970330,0.08614712402442848
36970331,-2.6186744611217136
36970332,-2.6187564869499145
37014770,-0.0002613933764248344
37014771,0.6666734484552599
37014772,
37014773,-0.803604215373106
37014774,-0.8035881065782142
37014775,-0.4601328309504549
37014776,0.7699753113457355
36961641,-5.661021215530582e-05
36961642,-0.8402986284597915
36961643,-0.8415311069932727
36961644,-2.4022633722925235
36961645,
36961646,-6.466941502885902
36961647,-6.466473446237202
36961648,-7.245746691718594
37012653,-5.279819418753334
37012654,0.49854351013041764
37012655,-0.9403583517323284
37012656,0.16658262192405004
37012657,-0.9403542383250283
37012658,-0.7335214745867518
37012659,-1.7630944986554766
37012660,-5.544880592172291
37012661,0.8821963270638662
37012662,
37007501,-0.1322470760803185
37007502,
37007503,-0.4524526856947091
37007504,-0.5980915199302785
37007505,-0.5366758195322632
37007506,-0.4667415795047418
37007507,-0.9184161424323065
37007508,-0.4274752353089184
37007509,0.9182243974938729
37007510,-0.0005544523123717227
36996187,-1.1362435607285306
36996188,-2.2095168416391004
36996189,0.9127221341272787
36996190,0.5003954066038716
36996191,
36996192,-0.6318738447908459
36996193,-1.4279548423777157
36996194,-1.9232072574211827
36996195,-16.068102109380646
36994603,0.001992426405877268
36994604,-3.135061891796255
36994605,-0.47732205192986044
36994606,
36994607,1.437389273156981
36994608,0.01326054677844013
36994609,-3.99676654230052
36994610,0.002029743919763405
36994611,-4.846031198869838
36994612,-3.0998366027346265
36959575,3.91668279461922
36959576,0.6584930235909638
36959577,
36959578,-1.4831406742710271
36959579,-1.4830822344734997
36959580,4.334934664491428
36959581,1.478135841068692
36959582,5.43720918289452
36959583,0.3378193861726402
36959584,0.6059056493168811
37012875,0.31392361954777925
37012876,-0.42982562594866636
37012877,-0.64333825287801
37012878,0.7068082767951296
37012879,0.3521939597221433
37012880,
37012881,-1.1196307812969621
37012882,-1.119674080639669
37012883,-0.5435969653998427
36970028,
36970029,0.49137397987624354
36970030,-4.785909220822106
36970031,-0.4576221329536736
36970032,-0.2819165985165739
36970033,-2.7127291512618967
36970034,-3.3916703730024835
36970035,-0.6151049627960106
36970036,-0.6617808712842645
36970037,-0.6108886895308103
36995632,1.3517699454015997
36995633,0.10729762816717425
36995634,0.03315874549115705
36995635,-2.8915305102956026
36995636,-2.1495567432943687
36995637,-8.940759776945555
36995638,-1.0286765928248727
36995639,
36995640,-3.085182652720249
36970802,-1.495257256668026
36970803,-1.8675911643891538
36970804,
36970805,-0.7471498683619018
36970806,-1.1231297296704383
36970807,-1.1681451157137133
36970808,-1.0546696461569809
36970809,-0.005480213854582416
36973609,-0.5557478151542483
36973610,-4.506987627212439
36973611,
36973612,-0.6392189878273768
36973613,-1.1533370997405967
36973614,-1.1650791966963396
36973615,-1.407343153102559
36973616,-0.5236427477128558
36973617,-2.4895571834603913
36973618,-3.490304665882107
37016967,
37016968,0.42882086627796845
37016969,-1.0132259871059608
37017054,
37017055,-0.003724060895482495
37016490,0.2519003048424864
37016491,
37016492,0.2520800201819
37012780,-1.885057545987891
37012781,-0.7513299903069353
37012782,-0.43954542354345705
37012783,-1.8695080037974776
37012784,0.5867695040437155
37012785,
37007170,-0.0395107402001571
37007171,-1.4215265149821832
37007172,-7.2799218922154125
37007173,
37007174,-2.428618232838275
37007175,-1.909787716884047
37007176,-1.5120148849605286
37007177,-2.543660625558971
37016854,-0.4044703611222591
37016855,
37016856,-3.973487922692698e-06
37016857,-1.1645804836052456
37016858,-1.1647108034562592
37016859,-0.6073672933646197
36998165,-2.2062291622750365
36998166,-2.039645592282966
36998167,
36998168,-3.5268464292061665
36998169,-2.2618731274084762
36998170,-3.074260812825134
36990423,1.2840798493882986
36990424,
36990425,2.0709864463510037
36990426,2.395655228748897
36990427,1.2839184914656911
36990428,0.021224014751137332
36990429,1.2840889851978652
36990430,2.3955394865401196
36990431,1.0561193665682964
36990432,0.32487080956371983
36980769,-1.619419710655933
36980770,
36980771,-2.7273647783705997
36980772,-2.579225598870977
36980773,1.5146936140631908
36980774,-3.0616006314609763
36980775,-1.2843107089000512
36980776,-4.928598779728617
37008950,
37008951,0.1811110405480143
37008952,-0.6308193128895248
37008953,-0.7848402327051609
37008954,-0.6309546899934979
37008955,-0.00034378242089871947
37008956,-0.7848629509812639
37008957,0.18122034114480456
37008958,-0.0002685165962716951
36969634,-1.5904174656622523
36969635,-1.01587566558681
36969636,
36969637,-1.590203188535316
36969638,-0.9485806636210263
36969639,0.7175181651369336
36969640,-1.204778793158816
36969641,-0.8260034065965449
36969642,-1.100259198535495
37012452,-7.455478804987777
37012453,
37012454,-4.646430215662164
37012455,-0.0007771469032036293
37012456,-2.8314709423118103
37012457,-4.22610881078694
37007875,-0.3081977719182305
37007876,2.2702815790645303
37007877,3.158121279886018
37007878,2.72123154109579
37007879,-0.22791462114579986
37007880,
37007881,0.5134587496865208
36974411,0.12655358444683884
36974412,-3.4039351400132603
36974413,-3.0358340625091955
36974414,0.12635111014927247
36974415,-2.7967052315458716
36974416,
36974417,-2.950272784040891
36974418,0.1800843458884458
37015790,0.5072812181200348
37015791,-0.32333102459924845
37015792,-0.7595588108380511
37015793,0.12853773991218276
37015794,-0.4185027447071761
37015795,
37015796,-0.4181758750465576
36985191,-1.3408422349968987
36985192,3.6322566503020823
36985193,-2.4516798803581423
36985194,-0.08959855555221452
36985195,-2.6236535922810162
36985196,-0.5990254739802481
36985197,-0.9685313606614159
36985198,0.4106297396901937
36985199,
37010838,3.8113836782416968
37010839,2.152269732731952
37010840,-0.3931717310707654
37010841,-0.377505614471886
37010842,
37010843,1.425491218858042
36972527,5.50807975144204
36972528,-1.723915746709963
36972529,1.7990169420949087
36972530,1.9480683754206467
36972531,
36972532,1.1767891938306576
36972533,0.6994883744953455
36972534,-0.842852886832361
36972535,-0.007780521624184189
36970494,-2.137255419345678
36970495,2.0106001857673164
36970496,1.6651679558684123
36970497,1.5993197995499457
36970498,0.24642907028602679
36970499,
36970500,-0.4552293763252777
36970501,2.66709687264121
36970502,-2.1916293273126684
36970503,-4.489807713488872
37014434,0.02980446407818249
37014435,
37014436,-0.02449877117888377
37014437,-0.316854451613807
37014438,-0.02449580864060863
36973716,-0.34577934240521646
36973717,
36973718,0.10028516365125228
36973719,0.0994120193417698
36973720,-0.3458718134250476
37014035,
37014036,1.3703299713963446
37014037,4.045470352706303
37014038,1.2559114481230864
37014039,2.38016306897336
37014040,4.472528121225835
37014041,4.678474697640652
37014042,1.255723745703861
37014043,1.9572800186697208
37009944,1.8948794415063617
37009945,
37009946,-3.558491779143594
37009947,1.4239774755887709
37009948,1.7657612641535252
37009949,2.2440880863289294
37009895,2.635208104792312
37009896,-2.1408127838064956
37009897,0.9482433608400385
37009898,
37009899,-1.1755782344566086
37009900,1.8794032027287386
37009901,1.7413011907419076
37009902,1.5458585614322118
36992614,-0.6910127935298362
36992615,-2.6792026943243457
36992616,-3.085966675579698
36992617,-1.7560075466631702
36992618,-0.6419744305346455
36992619,
36992620,-0.6419232557632029
36992621,-1.0957878372830407
36992622,-2.8022959034216512
36992623,-2.8776231434634383
36992174,-0.7536437592032303
36992175,8.862514686222706
36992176,2.528695908160902
36992177,-8.007349903457891
36992178,
36992179,2.411185584577911
36992180,4.635393992259411
36998857,
36998858,-6.277320634556446
36998859,0.3052646061450801
36998860,1.5590021372283545
36998861,-0.36234683755782626
36998862,0.45659668607464354
36998863,0.028766558086701366
36998864,0.612580111041904
36998865,0.4568522989838044
36965446,-9.475128442568604
36965447,-3.1770942127921558
36965448,
36965449,-6.617376746996598
36965450,-3.4716339102805307
36965451,-6.074016233907571
36965452,-10.63973546845014
36965453,-9.011066688456339
37024381,2.455683553048331
37024382,1.3399495669041102
37024383,-0.20102110175856325
37024384,
36974425,1.8576340367623771
36974426,-7.156538784027106
36974427,1.1701107363339815
36974428,
36974429,-1.886056051196988
36974430,-3.552159395907438
36974431,-7.5394768223313235
37017160,-0.0009167278186126282
37017161,-0.8530668099519474
37017162,-0.8640317445505126
37017163,
37017164,-1.227033460939225
37007057,
37007058,-0.14072830574847117
37007059,-1.0056821960348437
37007060,0.4975823312798511
37007061,-1.059349213053519
37007062,0.27981816662445524
37008442,0.1549524723123028
37008443,-1.1385843507097633
37008444,0.6623776324138646
37008445,
37008446,1.0077760729404304
37008447,1.4958636079031322
37008448,-4.8824334850714735
37008449,-4.479134736124649
37008450,0.662256041440429
36974374,-0.44019706876363784
36974375,-0.46366771295365083
36974376,
36974377,-0.5749939106373745
36974378,-1.0716794789059065
36974379,-1.106032659810495
36974380,-0.4636146337357303
36974381,1.9382858756222845
36964806,0.9778514553869826
36964807,-0.18804874887615597
36964808,-0.3353035237644235
36964809,
36964810,0.16961822103165503
36964811,-0.5847767614818764
36964812,-0.4004584218660625
36964813,-0.02808338989215997
36964814,0.08507419694630869
36961761,
36961762,0.12930274047688783
36961763,-0.9865128110054542
36961764,-0.49084984079230765
36961765,-1.431013061915607
36961766,0.5855664211231044
36961767,-0.8803445279795881
36971640,
36971641,0.5548900149703613
36971642,-6.133770570789679
36971643,-7.589691327861345
36971644,-2.330344484811924
36971645,-0.2899853963975474
36971646,-6.53366934542602
36971647,-5.746479792842187
36971648,-6.144107901030679
36971156,-7.541199394039388
36971157,-3.901636092947953
36971158,1.2806619061237612
36971159,
36971160,-8.277727453542859
36971161,-7.972542116484384
36971162,-7.04126928879942
36971163,-8.221055773832319
36971164,-4.845477653474788
36971521,6.1135181624494095
36971522,5.110785952522875
36971523,-11.348577180898758
36971524,-7.58500533543868
36971525,-3.414991736767476
36971526,5.043851082412516
36971527,-0.8398870063004864
36971528,-1.8685239761285004
36971529,1.049821400431938
36971530,
37014237,-6.562850385284662
37014238,-1.0719902034610982
37014239,-3.9854855937505818
37014240,-2.466242092824558
37014241,-0.0735786709771844
37014242,
37014243,-4.369484497477771
37014244,-3.255920320844325
37014245,-4.383343906360778
37014246,-6.562670385294041
36969348,
36969349,-1.3577452094142757
36969350,-1.9189560173842324
36969351,-2.0916104074281634
36969352,-0.5954643602423175
36969353,-0.5953523113116148
36969354,-0.5875478761943924
37024214,
37024215,-3.0709775558079855e-06
37024216,-0.14336544823073893
37024217,-9.51881522226472e-05
37024218,-0.1433547047845991
37024219,0.001611780389502826
37024220,-0.3267853253692081
36969191,-1.2466096843863728
36969192,0.09832364780095393
36969193,-1.004766244412206
36969194,0.0736648741500403
36969195,
37016471,-0.9581776196274063
37016472,-4.0976446724839235
37016473,-0.00036281743032873237
37016474,
37016475,-0.7631370557371895
37016476,-4.0974668666444956
37016477,-6.712691859094548
37009450,-1.1065277616714724
37009451,-1.1230995467997573
37009452,0.5585195714011277
37009453,-1.1942634036578959
37009454,-0.8441079573181796
37009455,-2.4997448204212596
37009456,0.12621312386655958
37009457,
37009458,-1.1159600139921828
36970729,-9.048388216691869
36970730,-4.92276940552307
36970731,-5.4389496960148165
36970732,-8.666957844470645
36970733,1.0636338744110816
36970734,-6.338718582742224
36970735,-8.532251924683024
36970736,
37016289,-2.7332271361178755
37016290,
37016291,1.5141394989506125
37016292,-1.9175283434137782
37016293,1.0724199880544347
37016294,-0.7682701454307903
37016295,-1.2911776377828232
37016296,-0.1288846481766086
37016297,-0.8766551409245267
37016298,-0.32723448381631215
37016340,-1.8061831737597913
37016341,-0.4855112052786694
37016342,-0.48581123319848984
37016343,-1.1689091081082097
37016344,
37016345,-1.6139197021796008
37016346,-1.0251002423575528
37016347,-0.679334639510671
37016348,-2.2046917724001673
37016349,-1.0602500355083748
36955947,-0.9595832289790849
36955948,-0.44483838477929183
36955949,0.1661392523636458
36955950,-0.9095564501788154
36955951,-1.44265409893055
36955952,2.342930264130226
36955953,-1.3454229325388471
36955954,
36973823,-7.495685404064787
36973824,-10.733782236971166
36973825,
36973826,-15.49833828535823
36973827,-16.098419570585648
36973828,-10.255054792194855
37016615,-0.5853506326127818
37016616,-6.0076472946254045
37016617,
37016618,-3.4500257571162027
37016619,-0.8289674229626769
37016620,0.7784555354689058
37016621,-0.6558290706948595
37016622,-0.17296850514229511
37016812,-3.6147186768672395
37016813,-0.7052107578087927
37016814,-3.348738645413089
37016815,-0.972741636243895
37016816,-11.476423772903807
37016817,-0.6553532427906976
37016818,-0.12433709553249361
37016819,
36997942,-0.00018617557258693296
36997943,
36997944,-0.039432251982177036
36997945,-1.7521488882076888
36998718,-6.506305429792489
36998719,
36984774,
36984775,-0.000305854133377359
36984776,-0.0003232775489143691
36984777,-2.527497279894109
36998629,1.396407574175626
36998630,
37010169,-0.8837979285537543
37010170,-1.4750676871616335
37010171,-0.8837716007445309
37010172,-0.00041401712115174405
37010173,-1.4750607350715015
37010174,-1.4750857776367212
37010175,
37010176,-1.4751157825213355
37010177,-0.8838307183164531
37010178,-0.8838793578099242
36985289,-2.5919172691180048e-05
36985290,0.009468386168967169
36985291,0.009481565780209034
36985292,-0.07396417982176295
36985293,-2.7931309702762785
36985294,0.009479984863575652
36985295,-2.782098787087778
36985296,0.009387337356545455
36985297,
36994587,-0.0006948951594480945
36994588,
36994589,-1.557582959425634
36994590,-1.5575672512741043
36994591,-3.83763679591977
36994592,-4.701552464534583
37015962,
37015963,-0.8910791685444934
37015964,-2.8543578393737903
37015965,-2.627458234367836
37015966,-2.7752476097284386
37015967,0.03502647865542485
37015968,-11.00297998593038
37015969,-0.891044817873663
37013596,-2.127030175103073e-05
37013597,
36997691,-0.4287839340970052
36997692,0.2872088298213811
36997693,0.4715478285671537
36997694,
36997695,-0.4212548318311775
36997696,0.2838513135685261
36997697,-0.010012071346736207
36997698,0.4734041844870305
36997699,0.45645165087157835
37015642,
37015643,-2.3967471991070965e-05
37015644,-0.8534221629481227
37015645,-0.00013270427037426202
37015646,-0.0001697539106366719
37015647,-0.8537399174014997
36973483,-5.4632371629281806e-05
36973484,-2.6393588379644157
36973485,-2.6393457160919027
36973486,-3.716941926933117
36973487,-3.7169993302795916
36973488,-2.639356554301834
36973489,
36973490,-4.661146796536286e-05
37015757,-8.202253606812448
37015758,-0.4499171995768734
37015759,
37015760,-8.20223641889983
37015761,-8.994324629912825
37015762,-11.606407365124653
37015763,-11.606389927040723
37015764,-0.44997636929053897
36969776,-1.6784731924144864
36969777,
36969778,-0.4712058695469352
36969779,1.0003615900762384
36990994,-0.5353451569144987
36990995,-0.0002132779918477823
36990996,-0.00018377555495519005
36990997,-0.5353235632691042
36990998,-0.00021930364821365345
36990999,
36999086,
36999087,-4.926004881669962
36999088,-0.10656953754534015
36981805,-1.0305992392161443
36981806,1.7381319193738207
36981807,-1.0307046414131236
36981808,
36981809,-1.0218970852082236
36981810,2.348173550927541
36981811,-1.021871276630982
36981812,2.348186164529583
36975682,-0.0003828965127219419
36975683,
36975684,1.52337339348189
36975685,1.5233779322803649
36985200,
36985201,-3.8877292560101466
36985202,-1.6720437012211562
36985203,-1.9679826861097638
36985204,-3.8879719488987803
36985205,-0.3729749122786643
36985206,-0.00010036723008965964
36985207,-3.715510700885716e-05
36986948,-4.9524572827756685
36986949,4.339764292537296
36986950,-3.566779194841274e-05
36986951,
36994259,-0.23021967323026615
36994260,-0.10372653687922906
36994261,-2.222329666989328
36994262,
36994263,0.6139847944319818
36994264,-0.1302679012623642
36994265,-0.07690463820869553
36994266,-2.231776714106914
36972327,-0.015504987327261688
36972328,0.6537780642703765
36972329,0.488133874329165
36972330,
37016977,-1.749536026096621e-05
37016978,
37009038,-0.15236860614096148
37009039,-4.238309535242735e-05
37009040,-0.15237822519067734
37009041,-3.116717659512602e-05
37009042,-0.19085387124644448
37009043,-1.7371028032009406e-05
37009044,
37009045,-0.19087463065811594
36973273,
36973274,0.837674577654429
36973275,-1.023518935257016
37013627,0.7470048496787243
37013628,
37013629,-0.00016567658235988603
37013630,0.746946811516489
37013631,0.7469800051335405
37013632,-2.627869632793991
37013633,-2.6278956824673427
37013634,-3.3960920901746405
37006609,-4.938815147070841e-05
37006610,
37016238,
37016239,0.07531609930928873
36999389,-0.9579812624265713
36999390,
37007954,
37007955,-0.47427601651373763
37007957,4.334200195877772
37007959,-2.3148829982187067
37007962,-2.1056055892645347
37007963,3.122313591306453
37006751,-0.8738237108091766
37006752,-0.5259372067296937
37006753,
37006754,-0.7096282630020028
37006755,-1.2773126147127272
37006756,-0.8746194420168507
37006757,-0.9971557492353469
37006758,-0.997160877435789
37006759,-0.34235014474165837
37006760,-0.8746103571774455
36969853,-0.0901179192473478
36969854,
36969855,-0.04129123517458311
36969856,0.4614507660718914
36969857,-0.09026135518598721
36969858,-0.1603216685832649
36969859,-0.10915259004252675
36969860,-0.17386512341710159
37012297,-0.134031095482122
37012298,0.26487390798991584
37012299,-0.34380120435120887
37012300,-0.13404912961358662
37012301,-3.419723330466695e-05
37012302,0.26490073193490105
37012303,-0.13396218133453175
37012304,
37012305,-0.13406414602341243
37012306,-0.13391697342447628
36992818,-0.0870554704188109
36992819,-0.08702772398866898
36992820,1.5664795672484075
36992821,1.3908853247142474
36992822,1.5047238760832187
36992823,-0.7134468484440077
36992824,
36992825,-0.007419879665341966
36992826,3.1329566845022114
36974893,
36974894,-2.1183178956943536
36974895,-1.1136331391389334
37016092,2.3672255660273667
37016093,
37016094,0.8764298551810885
36974924,-1.6158396907184738
36974925,
36974926,-2.3623906438136544
36974927,-2.6552731740003708
37009021,0.4811040730463674
37009022,0.48099301422269036
37009023,0.4798096140613666
37009024,-3.590246501516958e-05
37009025,-3.1135531287418416e-05
37009026,
37009027,0.481555085091145
37012638,-0.076031375886501
37012639,1.4822723344327784
37012640,
37012641,-3.6007315628694414e-05
37012642,1.482266651093724
37012643,0.09312032408857362
37012644,0.09294042196079033
36974157,-1.4231199142749507
36974158,
37010949,-0.02029353893256669
37010950,-0.02034799959161404
37010951,-0.020294927243419636
37010952,-0.0203901802389872
37010953,
37010954,-0.020314160917404678
37010955,-9.838898904490634e-06
36985554,-2.450420371882771
36985555,-2.2264085261527846
36985556,-0.679467493399418
36985557,-3.1081928913061034
36985558,-3.1076421364720623
36985559,
36985560,-3.599588275408088
36985561,0.8383885639038375
36985562,-0.0002847835428418932
36985563,-0.679570697445957
36970344,-1.2054190491166779
36970345,0.19315459846159655
36970346,1.0210553728650709
36970347,
36970348,-1.9433253693514558
36970349,-0.1887689637486787
36970350,0.2527246501854066
36970351,-0.8752489663333449
36970352,-1.5669470386831534
36998887,
36998888,0.18102253296338944
36998889,-0.6564173176430899
36998890,-0.00023268954651456397
36998891,0.6973052286782746
36998892,-0.6430646555018882
36994243,-3.9162688856006103
36994244,
36994245,1.2034206482167757
36994246,0.8820710634685316
36994247,-0.8473097562356298
36994248,0.012313979967334632
36994249,-0.3936372496218965
36971057,-1.5471477439688144
36971058,-1.4567852039780433
36971059,
36971060,-1.5471251789539835
36988570,
36988571,-3.3510844183126665e-05
36988572,-1.3495540010252185
36988573,-0.21170391267185096
36988574,-0.2030758867834166
36988575,-1.359902988481771
36988576,-4.7331209863443746e-05
36971239,-3.5683848661620914
36971240,1.927167407487616
36971241,0.4550515661932195
36971242,-2.007676534020611
36971243,
36971244,-3.5842694259912946
37007143,-1.8105354964024087
37007144,-0.00018558395279910656
37007145,-8.515600947509967
37007146,-2.0315294402882955
37007147,-2.975032552742448
37007148,-8.094237865508546
37007149,-6.779877451824433
37007150,-3.303382229618933
37007151,
37007152,-10.157477583875448
37012907,-1.8315249214077056
37012908,-4.975362805612038
37012909,0.09974381365277551
37012910,1.0195631138762842
37012911,0.8977016610328263
37012912,-0.6797992620522599
37012913,-1.2728524862527344
37012914,-0.052348590690957764
37012915,
37012916,-4.340052469100147
37013762,1.9038591220399894
37013763,
37013764,1.225068362770287
37013765,3.2635662091012136
37007228,2.34306934636669
37007229,2.2924490823402977
37007230,0.09284273533086207
37007231,2.3042115045901284
37007232,7.313127468886869
37007234,1.6805214122381003
37007236,
37007283,-2.1052974961078705
37007284,-4.131957970963554
37007285,1.1871272319285255
37007286,-5.211425058604391e-05
37007287,1.2034386858173418
37007288,-0.00045232125494720776
37007289,-0.3755276413050028
37007290,
37007291,0.5231148285131129
37007292,-4.131515729181658
36971649,1.1030946414253435
36971650,
36971651,-0.00020001235111521964
37015225,0.12039457770247708
37015226,0.120833230925669
